Timestamp,Email address,Gender,Work type, Business name , position ,stock record , app user ,simplicity of use, tech savyy,Time spent , Internet access, User interests , App name,app payments ,app features , App usage ,user remarks. 
14/02/2023 08:25:11,,Female,I sell ladies wears,@5k_wardrobe ,Sole owner,Use an App,Yes,somehow simple,Yes,"3 minute to create Sales receipt, inventory entry is 1 hour",Yes,"Stock taking, purchase record, sales record, data backup ",Vyapar,Yes,Nothing more,Sometimes,
14/02/2023 22:23:11,,Female,Making dresses for children especially girls ,VANTESS KIDDIESAFRIK ,Sole owner,Manual register,No,difficult,Yes,30 min,Yes,Nil,Not applicable ,No,Nil,Rarely,None
14/02/2023 22:40:23,,Male,Video editing ,Swagelok ,Employee,Manual register,No,Na,Yes,2hrs,Yes,NA,Not applicable ,No,"Date of hire and return, personal that used equipment, ",Rarely,None
14/02/2023 22:56:35,,Female,Fashion retail, Sophie's Glam,Sole owner,Use an App,Yes,very simple,Yes,1,Yes,the free website and  analytics,Bumpa,No,Ability to stock inventory,Very often,Nil
14/02/2023 23:57:02,,Female,"CARTA for SMEs,this is a small scale business that involves managing of inventories and database system efficiently and effectively by tracking income,profits made,losses and also trying to scale their stocks.",CARTA FOR SMEs,Employee,Online register,Yes,somehow simple,Yes,"2hours or less,it all depends on how fast the network is",Yes,It is very reliable and smart,Not applicable,Yes,"Too much of ads,and very fast to load",Very often,The should carryout on the job training for new employees.
15/02/2023 00:12:44,,Male,Business consulting,Damisrael consulting,CEO,Online register,Maybe,somehow simple,Yes,2 hours,Yes,Not applicable,Not applicable,Yes,Inventory listings,Sometimes,
15/02/2023 00:17:28,,Male,Sale of Hail oil,Samaritan Oil,Manager,Manual register,No,NA,Yes,1,Yes,NA,NA,No,NA,Very often,
15/02/2023 00:18:24,,Male,Translator ,Marketing ,Employee,Online register,No,somehow simple,Yes,1,Yes,It is reliable ,Kus,No,Want it to be fast ,Rarely,
15/02/2023 00:42:40,,Female,Products and services,Kandypalacehairs,CEO,Manual register,No,Nil,Yes,1hr,Yes,Nil,Not applicable ,Yes,Automatic stock update,Never,
15/02/2023 02:11:26,,Male,Footwear production ,Exquisite Blend Footwears,Sole owner,Manual register,No,Never used,Yes,Never done that,Yes,Not applicable ,Not applicable ,No,The profit margin mentioned earlier is a great idea ,Never,
16/02/2023 09:40:50,,Male,I sell shoes ,Shoes and glam,Sole owner,Manual register,No,very simple,Yes,1,Yes,"if i was to use an app, it should be interactive",n/a,No,"User friendly, good graphics, data saver, secure , effecient",Sometimes,
16/02/2023 13:40:51,,Female,I work as a Account Manager in a Marketing Communications Agency ,Tequila Nigeria,CEO,Online register,No,somehow simple,Yes,Less than an hour depending on the quantity of inventory ,Yes,It’s simple and easy to navigate ,I chose no,No,Good UI basically ,Always,
16/02/2023 14:01:27,,Female,Im a sales advisor in an insurance company. My job involves sales and marketing ,Custodian life Assurance plc,Employee,Use an App,Yes,somehow simple,Yes,It depends ,Yes,It is friendly and easy ,Not applicable ,No,Simplicity ,Always,
17/02/2023 11:41:28,,Male,Monitoring ,MFM,Employee,Manual register,No,No,No,No,No,No,No,No,Not,Never,No
17/02/2023 19:00:21,,Female,Online marketer,Expertnaire,Employee,Manual register,No,somehow simple,Yes,More than an hour,Yes,Not applicable ,Nill,No,"Buttons, navigation bar, calculator, storage page",Sometimes,Not yet
18/02/2023 20:35:09,,Male,Photography.. capturing moments and events,SH_ photography,Sole owner,Manual register,Yes,very simple,Yes,About 10mins,Yes,Can work without data,Ms excel,No,Dates,Sometimes,
20/02/2023 10:58:48,,Female,"Typing, photocopying, 2mins passport, scanning etc. ",Primetech Business Centre,Manager,Manual register,No,Don't know cos I have not use one,Yes,Max 2min,Yes,Don't use an app,Not applicable,No,"For now, I can't say",Never,
20/02/2023 14:35:15,,Female,"Electricity. Taking energy readings, data entry and predictions ",Transmission Company of Nigeria ,Data entry clerk,"Manual register, Online register",No,Indifferent ,No,5 minutes ,Yes,Not applicable ,Not applicable ,No,Not applicable ,Never,
21/02/2023 16:13:29,,Female,Selling coffee,Morning Coffee,Sole owner,Manual register,No,somehow simple,Yes,1,Yes,no,n/a,No,"Profit recording, losses",Rarely,
21/02/2023 16:15:09,,Male,I sell car spare parts,Murugi car dealers,CEO,Manual register,No,hard,Yes,3,No,no idea,n/a,No,"Easy to use app, Good photos of the commodities i have, customer requests",Never,
21/02/2023 16:16:59,,Male,I am a data analyst,Dataminers ,Manager,Online register,Yes,somehow simple,Yes,6,Yes,Very effective ,data tracker,No,"User friendly, time saving, ",Sometimes,
21/02/2023 16:18:39,,Female,I sell eggs,Minner Eggs shop,Sole owner,Manual register,No,difficult,Yes,3,Yes,not applicable,n/a,No,"Able to tell when my business is making profit, losses incured, ",Rarely,
21/02/2023 16:21:03,,Female,I sell thrift clothes,My_thrift,Sole owner,Manual register,No,n/a,Yes,6,Yes,no,n/a,No,"good images of my products, list of items at the shop, customer requests",Never,
21/02/2023 16:22:52,,Male,butchery business,Nyama zone,CEO,Manual register,No,hard,Yes,3,No,n/a,n/a,No,A good app,Never,
21/02/2023 16:24:12,,Female,farming,Akili farm,CEO,Manual register,No,somehow simple,Yes,2,Yes,none,na,No,Predict loss and profit,Never,
